a,b,c
82,55,80
15,87,62
57,62,59
27,1,13
46,46,67
81,96,20
18,20,94
70,41,88
4,47,4
30,36,34
74,1,23
4,47,32
30,97,75
65,56,72
67,97,41
34,92,38
7,52,30
28,50,67
37,91,52
70,29,68
28,15,39
66,64,12
77,55,62
87,62,35
51,25,88
13,29,50
99,35,11
52,31,14
29,100,90
9,63,91
4,15,72
37,84,16
66,7,80
68,19,73
61,40,42
91,53,49
76,18,26
57,29,99
36,68,50
68,27,80
16,56,79
55,36,79
27,37,56
67,35,68
37,100,97
92,9,2
90,73,70
53,87,87
6,8,80
75,99,49
95,52,59
56,6,24
58,29,84
52,47,71
9,23,64
48,58,20
87,58,63
4,35,75
80,93,13
72,90,76
91,41,11
56,44,48
89,23,77
24,45,35
99,68,77
68,28,27
68,64,72
76,7,39
7,16,55
15,72,87
38,90,72
63,5,39
90,8,73
2,81,70
97,77,97
85,63,70
38,68,13
13,55,23
98,7,35
14,94,46
94,3,53
16,39,27
63,99,6
92,16,10
38,72,79
54,3,72
73,6,10
89,39,100
88,96,43
100,41,1
10,91,53
78,59,1
64,59,91
41,19,86
94,15,61
81,4,16
46,50,45
14,25,96
36,51,80
48,28,24
55,85,14
20,9,15
49,29,100
38,42,46
10,60,10
37,86,7
35,58,96
94,72,13
62,36,99
32,98,29
45,5,93
52,53,46
4,11,29
61,27,86
27,65,96
72,68,77
88,32,33
35,27,92
48,26,72
38,28,52
51,80,95
42,5,52
4,43,24
62,34,60
57,30,66
79,16,3
63,77,88
3,72,50
64,16,68
59,23,79
49,65,87
54,88,25
35,66,47
95,58,58
54,72,4
32,63,72
63,59,95
21,66,9
59,99,34
37,31,30
91,12,66
95,100,48
39,55,30
94,74,12
34,62,89
3,72,48
12,14,77
85,87,82
89,36,87
37,61,28
35,74,86
7,35,29
41,61,64
33,8,58
65,69,77
31,88,26
5,10,67
10,65,34
98,10,41
19,77,32
5,77,49
99,51,5
77,18,17
65,99,84
66,4,22
58,72,2
77,51,63
84,46,77
3,87,19
75,31,33
8,35,59
10,67,86
61,57,73
17,19,69
82,31,86
4,86,35
69,52,90
32,72,19
32,56,59
52,34,56
40,48,43
85,28,99
72,32,98
70,93,57
66,1,57
75,18,15
87,49,42
73,93,92
61,23,20
8,12,100
96,23,53
95,9,5
14,14,97
45,84,67
39,53,76
72,38,63
7,11,30
50,73,7
42,50,84
57,3,65
81,27,27
20,70,69
58,34,51
29,20,68
52,65,33
35,63,2
40,46,6
3,98,47
30,11,100
36,66,21
33,77,79
27,31,66
82,8,55
47,16,9
72,56,50
48,59,10
8,4,65
35,79,9
16,40,74
77,92,96
38,96,79
16,9,46
85,20,64
30,68,57
96,84,46
10,15,31
93,5,93
14,48,72
90,100,68
88,8,55
26,70,86
97,39,96
10,23,62
30,70,78
46,57,7
60,56,30
92,65,73
62,81,29
22,53,41
99,69,97
99,37,37
31,51,47
74,35,23
66,24,24
24,64,28
43,79,85
25,42,89
37,76,27
31,9,5
44,83,49
23,29,73
68,60,57
86,8,7
22,46,36
93,93,87
55,2,62
37,27,55
35,58,92
6,66,13
5,28,95
67,75,2
69,59,45
64,62,7
30,93,51
91,39,7
28,56,44
34,77,74
60,56,78
50,81,24
19,21,9
84,1,48
1,86,2
63,6,69
80,62,87
64,50,28
31,55,7
36,60,18
49,42,27
18,80,71
95,69,84
46,9,56
13,86,25
58,54,11
75,23,20
75,28,71
65,32,60
83,51,42
18,22,14
75,9,82
97,21,18
20,63,32
90,43,17
60,42,33
73,29,60
11,27,52
15,85,78
13,38,92
93,32,78
54,69,1
1,77,95
44,39,94
7,65,70
57,100,54
10,19,99
85,35,71
94,72,25
62,32,53
27,98,93
7,24,28
72,97,86
41,25,66
50,68,17
35,83,93
25,64,88
70,96,85
4,43,7
93,37,97
1,66,77
24,37,27
58,98,88
41,28,7
63,21,38
17,62,66
69,22,2
29,49,9
47,92,48
73,47,19
60,16,82
5,98,71
33,84,69
11,36,79
83,68,27
43,31,59
94,59,12
9,57,59
24,64,22
58,31,26
9,92,73
78,62,69
49,24,57
33,3,51
6,32,7
88,61,99
62,9,1
88,57,66
47,72,31
26,80,14
75,35,86
71,20,83
98,41,36
90,81,49
33,37,36
84,83,43
13,30,16
76,84,87
91,83,89
42,92,1
60,63,51
23,11,73
52,46,16
57,88,28
96,58,80
99,3,19
78,9,52
46,5,30
43,35,3
99,68,2
65,96,63
44,38,69
80,10,48
45,91,48
64,35,11
100,82,88
15,38,85
100,33,66
54,62,80
98,57,35
30,70,66
14,19,20
16,45,78
40,12,89
1,49,67
82,75,49
38,63,57
79,57,9
84,8,70
29,70,48
82,2,96
4,32,86
95,92,56
81,7,3
7,55,53
11,69,12
69,33,83
17,62,95
29,54,97
21,90,44
15,51,24
26,62,78
74,63,83
12,17,80
70,63,35
90,53,88
19,7,84
23,3,87
80,8,84
88,70,7
59,32,91
17,18,35
4,23,69
99,48,64
63,45,22
21,88,52
26,74,50
80,65,9
72,9,11
60,12,72
83,23,68
38,65,13
30,34,20
47,54,44
16,63,23
77,2,17
47,78,4
16,22,58
94,60,54
85,32,93
14,60,78
24,35,19
70,87,42
33,83,27
59,96,80
72,72,71
13,71,59
94,37,78
88,82,80
96,43,31
20,95,45
7,10,25
9,11,76
33,46,76
75,99,17
27,73,80
81,27,94
19,86,78
4,95,45
10,10,90
82,74,73
67,92,88
54,47,53
46,47,42
33,11,10
36,97,38
93,33,26
1,11,56
28,92,28
6,27,43
9,4,5
83,51,2
100,85,63
63,16,48
84,70,20
68,88,52
46,51,22
65,5,1
22,53,22
91,79,21
58,92,37
52,25,94
46,31,12
89,1,29
29,21,88
10,52,51
39,65,73
29,62,89
89,31,25
86,51,51
66,90,84
10,69,22
79,29,53
79,100,98
100,19,78
18,33,87
86,97,8
91,89,82
52,91,13
24,7,26
32,37,83
76,90,56
23,22,10
17,55,47
56,47,2
43,13,92
75,37,23
61,57,72
53,26,53
41,32,19
10,50,91
75,95,42
7,71,60
92,9,81
7,23,30
72,54,12
62,98,94
8,68,93
77,71,60
35,90,51
42,73,63
46,64,47
27,89,19
54,70,76
32,11,2
46,81,70
91,72,42
55,95,13
81,26,90
28,88,12
75,22,45
45,72,83
53,39,20
65,21,5
54,64,51
7,39,92
10,54,58
95,89,74
48,81,28
65,99,86
20,23,11
36,80,55
42,20,98
33,44,55
20,47,34
27,9,1
16,38,5
74,37,4
48,98,50
25,35,38
59,70,89
75,5,28
61,15,41
28,49,9
18,2,22
40,77,69
73,47,41
42,84,83
31,10,51
40,31,64
91,17,48
63,50,54
53,47,42
98,55,4
49,9,25
97,42,44
67,87,21
18,26,31
100,100,90
45,47,54
22,4,22
72,73,37
1,24,44
32,95,19
73,79,62
7,50,4
22,83,46
54,68,94
94,67,22
7,18,99
78,48,39
55,24,26
24,4,20
5,16,43
15,68,6
72,13,30
71,22,56
55,64,74
31,63,71
1,58,34
90,77,70
29,5,8
71,86,72
22,71,81
34,99,95
31,36,81
3,99,15
99,90,37
40,11,14
38,1,39
92,9,38
95,70,96
75,1,12
21,93,45
14,96,91
4,63,11
11,90,29
18,47,36
26,91,55
63,13,76
100,36,20
72,19,71
4,86,50
59,67,61
29,19,12
14,43,49
49,58,76
50,72,15
62,66,53
50,43,81
10,18,49
25,48,65
90,99,4
33,42,78
38,91,20
81,49,67
15,80,93
1,61,100
100,43,81
68,98,53
36,91,81
48,58,76
49,28,47
37,86,71
26,90,21
5,23,23
48,80,51
6,1,85
40,81,88
7,65,2
100,42,47
44,34,80
12,55,57
43,27,27
99,76,1
74,2,88
26,24,27
64,78,44
54,78,42
57,99,54
27,89,37
75,81,73
20,11,83
62,6,71
16,81,75
57,96,11
36,14,62
8,79,60
21,18,15
89,94,3
27,16,38
86,50,92
51,73,36
74,83,80
33,14,45
36,100,63
71,11,55
48,95,81
36,84,80
38,62,30
23,33,63
2,96,80
86,27,93
61,21,18
49,4,77
52,5,80
96,10,4
32,8,91
41,39,72
17,5,18
35,27,27
6,66,10
66,48,21
34,88,89
73,56,64
43,8,7
85,54,26
81,24,39
38,72,28
46,67,64
100,38,87
100,91,93
22,13,66
50,21,71
47,13,55
61,43,4
64,11,22
18,10,66
29,3,3
90,40,10
9,61,88
12,49,86
93,56,61
53,76,25
41,32,68
81,78,36
10,19,53
30,84,71
65,58,23
9,10,70
60,28,17
34,77,76
58,94,6
72,82,63
80,13,99
49,61,72
96,52,77
91,11,62
87,15,63
2,38,15
90,19,59
21,34,55
8,57,45
19,85,75
70,21,32
69,92,94
24,13,5
60,29,36
69,11,3
32,20,74
45,9,7
83,53,83
2,54,97
26,41,71
34,31,72
23,92,83
19,41,21
88,4,27
78,31,51
23,19,1
96,92,53
59,36,36
59,30,86
78,88,29
81,87,22
31,70,26
67,18,28
66,96,31
7,7,65
61,9,69
9,37,31
57,33,17
42,61,33
27,97,30
41,69,34
39,43,96
83,49,12
90,52,53
91,96,98
42,93,29
88,5,64
50,43,59
22,30,6
1,72,75
80,63,6
89,36,46
38,7,39
25,40,20
1,62,90
47,15,83
93,58,79
84,31,69
3,60,51
12,65,68
47,30,3
66,67,76
92,74,26
23,75,45
41,71,60
23,45,88
10,7,42
96,57,55
24,11,46
20,78,30
3,33,17
18,96,1
32,75,97
65,43,27
71,7,66
88,89,24
52,20,84
24,38,99
96,40,73
21,68,10
20,36,35
64,1,77
76,77,2
33,66,21
65,66,13
75,55,68
27,73,93
88,87,42
61,59,33
31,83,87
23,28,78
90,38,15
77,3,78
17,28,30
37,80,97
66,8,14
75,72,79
84,79,73
39,83,17
12,58,56
23,79,59
89,31,72
59,4,55
88,55,94
16,31,46
71,70,15
36,96,89
37,33,60
79,22,29
68,64,28
45,49,50
75,50,100
54,79,22
13,44,53
66,57,59
2,70,7
33,100,61
65,11,99
20,5,49
43,91,24
2,90,67
82,89,15
45,66,95
25,12,22
75,11,70
11,86,80
37,44,13
19,10,45
21,62,63
69,50,48
8,63,33
70,5,75
47,24,25
52,17,82
24,61,8
90,54,49
35,95,72
33,34,32
39,76,92
82,58,10
39,76,42
93,54,80
53,88,41
15,55,19
21,83,28
35,21,2
98,98,62
8,30,60
35,24,67
69,33,59
1,64,55
16,79,77
36,40,49
57,78,12
60,23,26
31,37,84
38,33,95
7,41,9
42,29,15
86,40,42
64,45,17
20,14,91
88,9,90
8,41,88
16,96,47
16,49,69
83,27,55
32,2,84
76,9,90
84,31,27
91,75,92
43,19,48
49,79,87
97,26,55
60,77,40
13,88,99
86,52,79
78,40,94
72,12,54
88,98,60
21,69,84
49,57,34
5,100,55
61,97,43
48,89,28
58,75,4
69,4,75
22,72,100
100,35,39
54,47,49
96,6,66
22,9,98
8,22,82
89,32,86
100,22,91
94,55,90
38,92,46
48,8,73
16,91,72
92,66,66
79,66,59
32,73,8
100,36,19
55,38,74
44,77,88
35,61,8
80,75,12
7,32,63
88,41,94
93,79,44
39,90,7
16,27,10
88,98,14
75,94,55
14,80,60
15,97,53
15,74,79
54,53,9
40,93,55
5,99,44
33,79,63
29,48,74
32,3,15
18,81,98
88,72,4
63,23,58
42,39,20
53,77,9
26,33,45
89,63,21
28,65,39
45,19,42
70,83,40
88,39,85
58,11,23
3,72,29
80,67,78
69,56,20
72,21,33
49,34,19
55,64,10
4,7,6
34,47,78
70,73,32
33,37,28
47,37,33
94,81,24
92,34,4
15,41,58
63,66,63
90,24,6
53,13,58
47,56,2
39,16,26
88,86,79
26,65,53
34,80,87
62,9,100
86,29,58
36,36,58
83,43,44
44,26,78
64,47,67
44,77,24
86,96,100
6,5,68
95,46,5
90,52,96
99,7,9
63,7,86
38,87,40
63,37,25
36,76,11
48,93,75
22,77,53
72,86,47
66,95,10
22,36,62
91,16,10
70,12,32
81,54,97
41,95,43
21,12,63
20,3,34
9,38,48
37,68,55
64,6,91
96,89,28
14,20,74
43,10,3
51,51,92
76,52,43
82,40,73
11,38,50
36,55,89
82,77,25
69,10,69
5,28,30
48,30,19
70,73,51
21,31,42
41,86,61
88,91,71
78,98,35
88,47,85
13,33,63
41,93,48
46,94,75
32,29,28
91,1,60
86,58,29
18,37,63
42,32,10
27,7,21
79,66,93
25,34,88
71,30,86
41,34,44
